track name="82h_ATAC_FDR0.1_100bp_up"
description="82h_ATAC_FDR0.1_100bp_pu" color=100,50,0 useScore=1

seqnames	start	end	FDR	V12
chrX	12074181	12074349	0.0643	79.18074904443
chr3L	15099813	15099929	0.0652	78.7796845063674
chr3R	7299232	7299698	0.0657	78.5592563845424
chr2L	13720840	13721061	0.0672	77.9078991354138
chrX	20343652	20343954	0.0684	77.397197293271
chr2R	13295669	13296061	0.0684	77.397197293271
chr3R	11129000	11129409	0.0709	76.3614112461987
chr3R	7962785	7963068	0.073	75.5191945156414
chr3R	7650774	7651151	0.0764	74.205671030274
chr2R	17896704	17896967	0.0785	73.4232707154092
chr2R	10275342	10275686	0.0788	73.3132112018615
chr3L	15282773	15283200	0.0788	73.3132112018615
chr2R	23436936	23437410	0.081	72.5186856355492
chr2R	12693323	12693797	0.0837	71.5725713399821
chr3L	1068453	1068691	0.0863	70.6899126074099
chr3L	16090644	16090792	0.0863	70.6899126074099
chrX	9014139	9014450	0.0944	68.1013866037522
chr2L	1143453	1143615	0.0971	67.2876978826051
chr2L	14788448	14789169	0.099	66.7285532916495
chr2R	18749907	18750084	0.0995	66.5831932823688
chr2L	2873140	2873357	0.0997	66.5252537030251
chrX	7143051	7143830	0.0262	105.08578756024
chr2R	8647476	8648126	0.0265	104.757276601978
chrX	678468	679146	0.033	98.4278033060727
chr2L	9323235	9323514	0.0346	97.0616830382545
chr2L	6103008	6103521	0.0374	94.8163583932362
chr2R	22269188	22269877	0.0384	94.0549975765659
chr2L	7422422	7422763	0.0406	92.4475292472855
chrX	3919241	3919554	0.0415	91.8148970663032
chr3R	17521515	17522109	0.044	90.1270533204958
chrX	1549049	1549609	0.0467	88.4086727967957
chr3L	11261699	11262146	0.054	84.2179356499724
chr3L	1170358	1170894	0.064	79.3156856932417
chr3R	7767906	7768253	0.0665	78.2100369832179
chr3L	13840725	13841117	0.0684	77.397197293271
chr2R	14504658	14504811	0.0715	76.118258957674
chr3R	29552739	29553285	0.0722	75.8371470532456
chr2L	8886084	8886458	0.0722	75.8371470532456
chr3R	21388636	21388885	0.0774	73.8304524681008
chr3R	21628030	21628256	0.0824	72.0242370473246
chr2L	18343218	18343430	0.0865	70.6231211405073
chr3R	20141535	20141963	0.0868	70.5232229420994
chrX	17738948	17739404	0.087	70.4568157762672
chr3R	22907426	22907723	0.0965	67.4665449478801
chrX	5364957	5365280	0.0965	67.4665449478801
chr3R	28804942	28805270	0.098	67.0214888109376
chr3L	9051629	9052596	0.0284	102.759305200895
chr3L	22724352	22724772	0.0289	102.255733940975
chrX	19578080	19578409	0.0292	101.957756413389
chr3L	8043405	8043699	0.0393	93.3865375458169
chr3L	2305525	2305813	0.0407	92.376547905664
chr2R	9746763	9747341	0.0519	85.3624330238314
chr2L	12982363	12982729	0.0604	80.9861528044874
chr3L	17274263	17274546	0.0633	79.6330138024222
chrX	17314227	17314591	0.0652	78.7796845063674
chrX	22577985	22578786	0.0684	77.397197293271
chr2L	5687584	5687786	0.0709	76.3614112461987
chr2R	7373864	7374432	0.0722	75.8371470532456
chr3R	29342186	29342494	0.0725	75.7175038929431
chr2L	224896	225544	0.0726	75.677732831074
chr2L	9321014	9321217	0.073	75.5191945156414
chr2L	1873707	1874210	0.0759	74.3951260826797
chrX	20923781	20924140	0.0774	73.8304524681008
chr3L	15287716	15288335	0.084	71.4693372376665
chr2R	17190289	17190830	0.0915	69.0016889275609
chr2R	23465055	23465552	0.0943	68.1319683774871
chr2L	4071357	4071708	0.0968	67.3769828454971
chr3R	16472479	16472836	0.099	66.7285532916495
chrX	20057087	20057483	0.0994	66.6122067597433
chr3L	7947908	7948234	0.0346	97.0616830382545
chr2R	12493711	12493926	0.063	79.7700872232434
chrX	1495216	1495618	0.0676	77.7366588653453
chr2R	14027149	14027515	0.0684	77.397197293271
chrX	8640647	8641154	0.0722	75.8371470532456
chr3R	24051576	24051741	0.0742	75.0487400585729
chr2R	16331152	16331522	0.0784	73.4600507086848
chr2R	7751851	7752221	0.0797	72.9855293111795
chrX	3808515	3808890	0.0843	71.3664711721473
chr4	396064	396910	0.0868	70.5232229420994
chr2L	9490826	9490978	0.0873	70.3574907184002
chr3R	29410348	29410816	0.0926	68.6568799257843
chr3L	15323469	15323754	0.0465	88.5325094710811
chrX	16090678	16090915	0.0625	80
chr3L	4633516	4633883	0.0633	79.6330138024222
chrX	1591541	1592141	0.0652	78.7796845063674
chr3R	18397265	18397600	0.0665	78.2100369832179
chrX	6213999	6214434	0.0704	76.565615218243
chr2L	1345998	1346323	0.0718	75.997446914528
chrX	8028478	8028771	0.0729	75.5587475044503
chr2R	12006655	12007196	0.078	73.6076413159968
chrX	2319538	2320164	0.0785	73.4232707154092
chrX	19397806	19398005	0.0797	72.9855293111795
chr2R	24564662	24564924	0.0799	72.9132137324295
chr2L	9982845	9983211	0.0926	68.6568799257843
chr2R	17335777	17336240	0.0933	68.4395821739538
chr3R	28297082	28297571	0.0965	67.4665449478801
chr2R	15390161	15390464	0.0482	87.4964608663898
chr2R	24767893	24768378	0.0576	82.3557475621428
chr2L	14975111	14975404	0.0598	81.2742141070269
chr3R	4768688	4769199	0.0665	78.2100369832179
chr3L	2881434	2882015	0.0722	75.8371470532456
chrX	20629105	20629841	0.0727	75.6380165125971
chr2L	9207388	9207760	0.0727	75.6380165125971
chrX	2357577	2358130	0.075	74.7393118833241
chr3L	15102920	15103251	0.087	70.4568157762672
chr2R	21772016	21772265	0.0884	69.9961964031604
chr3R	19960988	19961301	0.089	69.8010170739138
chr2R	7852279	7852779	0.051	85.8671788538118
chr2R	15662763	15662971	0.0596	81.3708771817458
chrX	13752714	13753048	0.0598	81.2742141070269
chr2R	10200239	10200754	0.0652	78.7796845063674
chr2L	6010419	6010867	0.067	77.9939018840863
chr2L	8638152	8638821	0.0676	77.7366588653453
chr3R	29062927	29063095	0.0737	75.2438314090876
chrX	16930738	16930987	0.0797	72.9855293111795
chr4	418338	419019	0.081	72.5186856355492
chr3L	9381492	9382631	0.0813	72.4120167494884
chrX	14841971	14842467	0.0831	71.7801542555821
chrX	6889834	6890414	0.0844	71.3322638168453
chrX	20267258	20267508	0.0868	70.5232229420994
chr3R	8112760	8113103	0.0868	70.5232229420994
chr3L	644378	644849	0.0912	69.0964473076942
chr3L	377201	377554	0.0926	68.6568799257843
chr2R	12044925	12045311	0.0929	68.5635518633359
chr2L	4779891	4780129	0.0955	67.7671091325268
chrX	14458032	14458404	0.0994	66.6122067597433
chr2R	15151557	15151845	0.0576	82.3557475621428
chrX	14509825	14510510	0.0652	78.7796845063674
chrX	1602012	1602777	0.0722	75.8371470532456
chrX	4754567	4754830	0.0767	74.0925922409303
chrX	7489934	7490445	0.0868	70.5232229420994
chr3R	11507982	11508308	0.0868	70.5232229420994
chr2L	2663986	2664574	0.0915	69.0016889275609
chr2L	516304	517035	0.0926	68.6568799257843
chrX	10264932	10265407	0.0948	67.9793826130238
chrX	7978783	7979134	0.0965	67.4665449478801
chr2R	15719955	15720525	0.0998	66.4963274842438
chr2R	22578603	22579093	0.0774	73.8304524681008
chr3L	18078919	18079568	0.0774	73.8304524681008
chr2R	15340325	15340521	0.0899	69.5107014807
chr3R	18568569	18569077	0.0943	68.1319683774871
chrX	1898869	1899155	0.0943	68.1319683774871
chr2L	1774169	1774480	0.0967	67.4068060014522
chrX	1710342	1711129	0.0806	72.6615270204296
chr2R	10357536	10357801	0.0943	68.1319683774871
chr2L	13776887	13777764	0.0971	67.2876978826051
chr3R	13091391	13092535	0.0972	67.2579975188734
chr3R	21896513	21896827	0.099	66.7285532916495
chr2L	15211096	15211607	0.0977	67.1099525516213
chr2R	23873747	23873977	0.0896	69.6071491498369
